Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus SBFV2,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202008644,
2,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus SFV1,dsDNA,"Moved,Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202008643,
3,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 3,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202001532,
4,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 6,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202001533,
5,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 7,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202001534,
6,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 8,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202001535,
7,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 9,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202001536,
8,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Sulfolobus islandicus filamentous virus,dsDNA,"Moved,Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001537,
9,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Acidianus filamentous virus 2,dsDNA,"Moved,Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001539,
10,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus SBFV3,dsDNA,"Moved,",36,2020.186B.R.Adnaviria.zip,ICTVonline=202008645,
11,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Gammalipothrixvirus,,Acidianus filamentous virus 1,dsDNA,"Moved,Removed as Type Species,",36,2020.001G.R.Abolish_type_species.pdf,ICTVonline=202001541,
12,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus SRV,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011720,
13,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus ARV2,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011716,
14,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus ARV3,dsDNA,"New,",36,2020.141B.R.Rudiviridae.zip,ICTVonline=202011717,
