"ICTVnames","NCBInames","ExemplarOrAdditional","GenBankIDs","RefSeqIDs"
"Alphalipothrixvirus SBFV2","Sulfolobales Beppu filamentous virus 2","E","MK064563","NC_048128"
"Alphalipothrixvirus SFV1","Sulfolobus filamentous virus 1","E","MH447526","NC_048037"
"Acidianus filamentous virus 3","Acidianus filamentous virus 3","E","AM087120","NC_010155"
"Acidianus filamentous virus 6","Acidianus filamentous virus 6","E","AM087121","NC_010152"
"Acidianus filamentous virus 7","Acidianus filamentous virus 7","E","AM087122","NC_010153"
"Acidianus filamentous virus 8","Acidianus filamentous virus 8","E","AM087123","NC_010154"
"Acidianus filamentous virus 9","Acidianus filamentous virus 9","E","EU545650","NC_010537"
"Sulfolobus islandicus filamentous virus","Sulfolobus islandicus filamentous virus","E","AF440571","NC_003214"
"Acidianus filamentous virus 2","Acidianus filamentous virus 2","E","AJ854042","NC_009884"
"Deltalipothrixvirus SBFV3","Sulfolobales Beppu filamentous virus 3","E","MK064564","NC_048127"
"Acidianus filamentous virus 1","Acidianus filamentous virus 1","E","AJ567472","NC_005830"
"Azorudivirus SRV","Stygiolobus rod-shaped virus","E","FM164764","NC_025375"
"Hoswirudivirus ARV2","Acidianus rod-shaped virus 2","E","KP282675","NC_029314"
"Hoswirudivirus ARV3","Acidianus rod-shaped virus 3","E","MN876842","zero"
"Hoswirudivirus MRV1","Metallosphaera rod-shaped virus 1","E","MN876843","zero"
"Hoswirudivirus SSRV1","Saccharolobus solfataricus rod-shaped virus 1","E","MN876841","zero"
"Icerudivirus SIRV1","Sulfolobus islandicus rod-shaped virus 1","E","AJ414696","NC_004087"
"Icerudivirus SIRV2","Sulfolobus islandicus rod-shaped virus 2","E","AJ344259","NC_004086"
"Icerudivirus SIRV3","Sulfolobus islandicus rod-shaped virus 3","E","KX712143","NC_030884"
"Itarudivirus ARV1","Acidianus rod-shaped virus 1","E","AJ875026","NC_009965"
"Japarudivirus SBRV1","Sulfolobales Beppu rod-shaped virus 1","E","MK064565","zero"
"Mexirudivirus SMRV1","Sulfolobales Mexican rod-shaped virus 1","E","JX944686","NC_019413"
"Usarudivirus SIRV4","Sulfolobus islandicus rod-shaped virus 4","E","KY744231","NC_034628"
"Usarudivirus SIRV5","Sulfolobus islandicus rod-shaped virus 5","E","KY744233","NC_034621"
"Usarudivirus SIRV8","Sulfolobus islandicus rod-shaped virus 8","E","KY744229","NC_034623"
"Usarudivirus SIRV9","Sulfolobus islandicus rod-shaped virus 9","E","KY744228","NC_034620"
"Usarudivirus SIRV10","Sulfolobus islandicus rod-shaped virus 10","E","KY744230","NC_034625"
"Usarudivirus SIRV11","Sulfolobus islandicus rod-shaped virus 11","E","KY744234","NC_034624"
"Alphatristromavirus PFV1","Pyrobaculum filamentous virus 1","E","KU307456","NC_029548"
"Alphatristromavirus PFV2","Pyrobaculum filamentous virus 2","E","MN876844","zero"
"Betatristromavirus TTV1","Thermoproteus tenax virus 1","E","X14855","NC_038931"
"Ranid herpesvirus 1","Lucké tumor herpesvirus; ranid herpesvirus 1","E","DQ665917","NC_008211"
"Ranid herpesvirus 2","frog virus 4; ranid herpesvirus 2","E","DQ665652","NC_008210"
"Ranid herpesvirus 3","ranid herpesvirus 3","E","KX832224","NC_034618"
"Anguillid herpesvirus 1","Japanese eel herpesvirus; anguillid herpesvirus 1","E","FJ940765","NC_013668"
"Cyprinid herpesvirus 1","carp pox herpesvirus; cyprinid herpesvirus 1","E","JQ815363","NC_019491"
"Cyprinid herpesvirus 2","goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2","E","JQ815364","NC_019495"
"Cyprinid herpesvirus 3","koi herpesvirus; cyprinid herpesvirus 3","E","DQ657948","NC_009127"
"Acipenserid herpesvirus 2","white sturgeon herpesvirus 2; acipenserid herpesvirus 2","E","FJ815289","NC_043042"
"Ictalurid herpesvirus 1","channel catfish virus; ictalurid herpesvirus 1","E","M75136","NC_001493"
"Ictalurid herpesvirus 2","black bullhead herpesvirus; ictalurid herpesvirus 2","E","MG271984","NC_036579"
"Salmonid herpesvirus 1","herpesvirus salmonis; salmonid herpesvirus 1","E","AF023673","NC_043043"
"Salmonid herpesvirus 2","Oncorhyncus masou herpesvirus; salmonid herpesvirus 2","E","EU349274","zero"
"Salmonid herpesvirus 3","epizootic epitheliotropic disease virus; salmonid herpesvirus 3","E","EU349277","NC_043468"
"Gallid alphaherpesvirus 1","gallid alphaherpesvirus 1; infectious laryngotracheitis virus","E","JN596962","zero"
"Psittacid alphaherpesvirus 1","psittacid alphaherpesvirus 1; Pacheco's disease virus","E","AY372243","NC_005264"
"Anatid alphaherpesvirus 1","anatid alphaherpesvirus 1; duck enteritis virus","E","JF999965","zero"
"Columbid alphaherpesvirus 1","columbid alphaherpesvirus 1; pigeon herpesvirus","E","KX589235","NC_034266"
"Gallid alphaherpesvirus 2","gallid alphaherpesvirus 2; Marek's disease virus","E","AF243438","NC_002229"
"Gallid alphaherpesvirus 3","gallid alphaherpesvirus 3; gallid herpesvirus 3","E","HQ840738","zero"
"Meleagrid alphaherpesvirus 1","meleagrid alphaherpesvirus 1; turkey herpesvirus","E","AF291866","NC_002641"
"Spheniscid alphaherpesvirus 1","spheniscid alphaherpesvirus 1","E","LT608135","NC_033464"
"Chelonid alphaherpesvirus 5","chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus","E","HQ878327","zero"
"Testudinid alphaherpesvirus 3","testudinid alphaherpesvirus 3; testudinid herpesvirus 3","E","KM924292","NC_027916"
"Ateline alphaherpesvirus 1","ateline alphaherpesvirus 1; herpesvirus ateles 1","E","KY385637","NC_034446"
"Bovine alphaherpesvirus 2","bovine alphaherpesvirus 2; bovine mammillitis virus","E","MT862163","zero"
"Cercopithecine alphaherpesvirus 2","cercopithecine alphaherpesvirus 2; simian agent 8","E","AY714813","NC_006560"
"Human alphaherpesvirus 1","human alphaherpesvirus 1; herpes simplex virus type 1","E","JN555585","NC_001806"
"Human alphaherpesvirus 2","human alphaherpesvirus 2; herpes simplex virus type 2","E","JN561323","NC_001798"
"Leporid alphaherpesvirus 4","leporid alphaherpesvirus 4; leporid herpesvirus 4","E","JQ596859","NC_029311"
"Macacine alphaherpesvirus 1","macacine alphaherpesvirus 1; B-virus","E","AF533768","NC_004812"
"Macacine alphaherpesvirus 2","macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1","E","KY628968","zero"
"Macacine alphaherpesvirus 3","macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1","E","KY628970","zero"
"Macropodid alphaherpesvirus 1","macropodid alphaherpesvirus 1; Parma wallaby herpesvirus","E","KT594769","NC_029132"
"Macropodid alphaherpesvirus 2","macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus","E","MT900475","zero"
"Panine alphaherpesvirus 3","panine alphaherpesvirus 3; chimpanzee herpesvirus","E","JQ360576","NC_023677"
"Papiine alphaherpesvirus 2","papiine alphaherpesvirus 2; herpesvirus papio 2","E","DQ149153","NC_007653"
"Pteropodid alphaherpesvirus 1","pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1","E","AB825953","NC_024306"
"Saimiriine alphaherpesvirus 1","saimiriine alphaherpesvirus 1; herpesvirus saimiri 1","E","HM625781","NC_014567"
"Bovine alphaherpesvirus 1","bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus","E","JX898220","zero"
"Bovine alphaherpesvirus 5","bovine alphaherpesvirus 5; bovine encephalitis herpesvirus","E","AY261359","NC_005261"
"Bubaline alphaherpesvirus 1","bubaline alphaherpesvirus 1; water buffalo herpesvirus","E","KU936049","NC_043054"
"Canid alphaherpesvirus 1","canid alphaherpesvirus 1; canine herpesvirus","E","KT819633","NC_030117"
"Caprine alphaherpesvirus 1","caprine alphaherpesvirus 1; goat herpesvirus","E","MG989243","NC_043055"
"Cercopithecine alphaherpesvirus 9","cercopithecine alphaherpesvirus 9; simian varicella virus","E","AF275348","NC_002686"
"Cervid alphaherpesvirus 1","cervid alphaherpesvirus 1; red deer herpesvirus","E","MH036942","zero"
"Cervid alphaherpesvirus 2","cervid alphaherpesvirus 2; reindeer herpesvirus","E","MH036943","zero"
"Cervid alphaherpesvirus 3","cervid alphaherpesvirus 3; elk herpesvirus","E","MH036941","zero"
"Equid alphaherpesvirus 1","equid alphaherpesvirus 1; equine abortion virus","E","AY665713","NC_001491"
"Equid alphaherpesvirus 3","equid alphaherpesvirus 3; equine coital exanthema virus","E","KM051845","NC_024771"
"Equid alphaherpesvirus 4","equid alphaherpesvirus 4; equine rhinopneumonitis virus","E","AF030027","NC_001844"
"Equid alphaherpesvirus 8","equid alphaherpesvirus 8; asinine herpesvirus 3","E","MF431611","zero"
"Equid alphaherpesvirus 9","equid alphaherpesvirus 9; gazelle herpesvirus","E","AP010838","NC_011644"
"Felid alphaherpesvirus 1","felid alphaherpesvirus 1; feline viral rhinotracheitis virus","E","FJ478159","NC_013590"
"Human alphaherpesvirus 3","human alphaherpesvirus 3; varicella-zoster virus","E","X04370","NC_001348"
"Monodontid alphaherpesvirus 1","monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1","E","MF678601","zero"
"Phocid alphaherpesvirus 1","phocid alphaherpesvirus 1; harbour seal herpesvirus","E","MH509440","zero"
"Suid alphaherpesvirus 1","suid alphaherpesvirus 1; pseudorabies virus","E","JF797218","zero"
"Chelonid alphaherpesvirus 6","chelonid alphaherpesvirus 6; lung–eye–trachea disease-associated virus","E","AY124577","zero"
"Aotine betaherpesvirus 1","aotine betaherpesvirus 1; owl monkey cytomegalovirus","E","FJ483970","NC_016447"
"Cebine betaherpesvirus 1","cebine betaherpesvirus 1; capuchin monkey cytomegalovirus","E","JQ264772","NC_038260"
