"Alphalipothrixvirus SBFV2"
"Alphalipothrixvirus SFV1"
"Acidianus filamentous virus 3"
"Acidianus filamentous virus 6"
"Acidianus filamentous virus 7"
"Acidianus filamentous virus 8"
"Acidianus filamentous virus 9"
"Sulfolobus islandicus filamentous virus"
"Acidianus filamentous virus 2"
"Deltalipothrixvirus SBFV3"
"Acidianus filamentous virus 1"
"Azorudivirus SRV"
"Hoswirudivirus ARV2"
"Hoswirudivirus ARV3"
"Hoswirudivirus MRV1"
"Hoswirudivirus SSRV1"
"Icerudivirus SIRV1"
"Icerudivirus SIRV2"
"Itarudivirus ARV1"
"Japarudivirus SBRV1"
"Usarudivirus SIRV4"
"Usarudivirus SIRV5"
"Usarudivirus SIRV8"
"Usarudivirus SIRV9"
"Usarudivirus SIRV10"
"Usarudivirus SIRV11"
"Alphatristromavirus PFV1"
"Alphatristromavirus PFV2"
"Betatristromavirus TTV1"
"Ranid herpesvirus 1"
"Ranid herpesvirus 2"
"Ranid herpesvirus 3"
"Anguillid herpesvirus 1"
"Cyprinid herpesvirus 1"
"Cyprinid herpesvirus 2"
"Cyprinid herpesvirus 3"
"Acipenserid herpesvirus 2"
"Ictalurid herpesvirus 1"
"Ictalurid herpesvirus 2"
"Salmonid herpesvirus 1"
"Salmonid herpesvirus 2"
"Salmonid herpesvirus 3"
"Gallid alphaherpesvirus 1"
"Psittacid alphaherpesvirus 1"
"Anatid alphaherpesvirus 1"
"Columbid alphaherpesvirus 1"
"Gallid alphaherpesvirus 2"
"Gallid alphaherpesvirus 3"
"Meleagrid alphaherpesvirus 1"
"Spheniscid alphaherpesvirus 1"
"Chelonid alphaherpesvirus 5"
"Testudinid alphaherpesvirus 3"
"Ateline alphaherpesvirus 1"
"Bovine alphaherpesvirus 2"
"Cercopithecine alphaherpesvirus 2"
"Human alphaherpesvirus 1"
"Human alphaherpesvirus 2"
"Leporid alphaherpesvirus 4"
"Macacine alphaherpesvirus 1"
"Macacine alphaherpesvirus 2"
"Macacine alphaherpesvirus 3"
"Macropodid alphaherpesvirus 1"
"Macropodid alphaherpesvirus 2"
"Panine alphaherpesvirus 3"
"Papiine alphaherpesvirus 2"
"Pteropodid alphaherpesvirus 1"
"Saimiriine alphaherpesvirus 1"
"Bovine alphaherpesvirus 1"
"Bovine alphaherpesvirus 5"
"Bubaline alphaherpesvirus 1"
"Canid alphaherpesvirus 1"
"Caprine alphaherpesvirus 1"
"Cercopithecine alphaherpesvirus 9"
"Cervid alphaherpesvirus 1"
"Cervid alphaherpesvirus 2"
"Cervid alphaherpesvirus 3"
"Equid alphaherpesvirus 1"
"Equid alphaherpesvirus 3"
"Equid alphaherpesvirus 4"
"Equid alphaherpesvirus 8"
"Equid alphaherpesvirus 9"
"Felid alphaherpesvirus 1"
"Human alphaherpesvirus 3"
"Monodontid alphaherpesvirus 1"
"Phocid alphaherpesvirus 1"
"Suid alphaherpesvirus 1"
"Chelonid alphaherpesvirus 6"
"Aotine betaherpesvirus 1"
"Cebine betaherpesvirus 1"
"Cercopithecine betaherpesvirus 5"
"Human betaherpesvirus 5"
"Macacine betaherpesvirus 3"
