"Hoswirudivirus ARV3"
"Hoswirudivirus MRV1"
"Hoswirudivirus SSRV1"
"Japarudivirus SBRV1"
"Alphatristromavirus PFV2"
"Salmonid herpesvirus 2"
"Gallid alphaherpesvirus 1"
"Anatid alphaherpesvirus 1"
"Gallid alphaherpesvirus 3"
"Chelonid alphaherpesvirus 5"
"Bovine alphaherpesvirus 2"
"Macacine alphaherpesvirus 2"
"Macacine alphaherpesvirus 3"
"Macropodid alphaherpesvirus 2"
"Bovine alphaherpesvirus 1"
"Cervid alphaherpesvirus 1"
"Cervid alphaherpesvirus 2"
"Cervid alphaherpesvirus 3"
"Equid alphaherpesvirus 8"
"Monodontid alphaherpesvirus 1"
"Phocid alphaherpesvirus 1"
"Suid alphaherpesvirus 1"
"Chelonid alphaherpesvirus 6"
"Macacine betaherpesvirus 8"
"Mandrilline betaherpesvirus 1"
"Papiine betaherpesvirus 3"
"Murid betaherpesvirus 1"
"Gorilline gammaherpesvirus 1"
"Macacine gammaherpesvirus 10"
"Papiine gammaherpesvirus 1"
"Suid gammaherpesvirus 5"
"Phascolarctid gammaherpesvirus 1"
"Vombatid gammaherpesvirus 1"
"Phocid gammaherpesvirus 3"
"Macacine gammaherpesvirus 8"
"Macacine gammaherpesvirus 11"
"Macacine gammaherpesvirus 12"
"Murid gammaherpesvirus 7"
"Saguinine gammaherpesvirus 1"
"Pseudomonas virus 3MF5"
"Ralstonia virus Anchaing"
"Escherichia virus PHB17"
"Escherichia virus W011D"
"Escherichia virus Henu7"
"Escherichia virus SLUR29"
"Escherichia virus tiwna"
"Citrobacter virus HCF1"
"Vibrio virus GwaliVC1"
"Salmonella virus SopEphi"
"Citrobacter virus CrRp10"
"Citrobacter virus PhiZZ6"
"Citrobacter virus PhiZZ23"
"Enterobacteria virus Aplg8"
"Enterobacteria virus GiZh"
"Enterobacteria virus IME340"
"Enterobacteria virus Kha5h"
"Enterobacteria virus RB18"
"Enterobacteria virus T6"
"Escherichia virus DalCa"
"Escherichia virus EC121"
"Escherichia virus EcNP1"
"Escherichia virus ECO4"
"Escherichia virus EcoMF1"
"Escherichia virus F2"
"Escherichia virus fFiEco06"
"Escherichia virus G8"
"Escherichia virus G28"
"Escherichia virus G50"
"Escherichia virus G4498"
"Escherichia virus G4507"
"Escherichia virus G9062"
"Escherichia virus IME537"
"Escherichia virus KAW1E185"
"Escherichia virus KIT03"
"Escherichia virus Lutter"
"Escherichia virus NBEco003"
"Escherichia virus NBG2"
"Escherichia virus OE5505"
"Escherichia virus Ozark"
"Escherichia virus PD112"
"Escherichia virus PE37"
"Escherichia virus PP01"
"Escherichia virus T2"
"Escherichia virus teqdroes"
"Escherichia virus teqhad"
"Escherichia virus teqskov"
"Escherichia virus YUEEL01"
"Salmonella virus SG1"
"Salmonella virus SNUABM-01"
"Serratia virus PhiZZ30"
"Shigella virus CM8"
"Shigella virus JK45"
"Shigella virus Sf23"
"Shigella virus SH7"
"Yersinia virus fPS-2"
"Yersinia virus PYPS2T"
"Yersinia virus ZN18"
"Ralstonia virus Simangalove"
"Stenotrophomonas virus IMESM1"
"Halobacterium virus ChaoS9"
"Natrialba virus PhiCh1"
"Aeromonas virus 43"
"Ralstonia virus Raharianne"
"Ralstonia virus Cimandef"
"Ralstonia virus Eline"
"Ralstonia virus Gamede"
"Ralstonia virus Gerry"
"Ralstonia virus Heva"
"Ralstonia virus Firinga"
"Ralstonia virus Claudettte"
"Ralstonia virus Gervaise"
"Ralstonia virus GP4"
"Klebsiella virus LASTA"
"Klebsiella virus SopranoGao"
"Achromobacter virus Axy04"
"Achromobacter virus Axy12"
"Achromobacter virus Axy24"
"Pseudomonas virus inbricus"
"Achromobacter virus Axy10"
"Achromobacter virus Axy11"
"Staphylococcus virus BaqSau1"
"Staphylococcus virus HSA84"
"Staphylococcus virus SA75"
"Staphylococcus virus SAP33"
"Staphylococcus virus SP5"
"Staphylococcus virus TEM126"
"Staphylococcus virus B122"
"Staphylococcus virus Henu2"
"Staphylococcus virus SAP27"
"Staphylococcus virus Sebago"
"Staphylococcus virus UPMK2"
"Paenibacillus virus Dragolir"
"Paenibacillus virus Wanderer"
"Leuconostoc virus LDG"
"Leuconostoc virus P965"
"Leuconostoc virus Ln7"
"Brevibacterium virus AGM1"
"Lactococcus virus 05802"
"Lactococcus virus 20R03M"
"Lactococcus virus 37203"
"Lactococcus virus 50102"
"Lactococcus virus 50504"
"Lactococcus virus 5171F"
"Lactococcus virus 62402"
"Lactococcus virus 62403"
"Lactococcus virus 62606"
"Lactococcus virus bIBB14"
"Lactococcus virus bIBBA3"
"Lactococcus virus bIBBAm4"
"Lactococcus virus bIBBE1"
"Lactococcus virus bIBBL12"
"Lactococcus virus bIBBp6-4"
"Lactococcus virus blBB94p4"
"Lactococcus virus CHPC116"
"Lactococcus virus CHPC122"
"Lactococcus virus CHPC966"
"Lactococcus virus CHPC967"
"Lactococcus virus CHPC972"
"Lactococcus virus CHPC1020"
"Lactococcus virus CHPC1170"
"Lactococcus virus CHPC1182"
"Lactococcus virus CHPC1183"
"Lactococcus virus CHPC1242"
"Lactococcus virus LacS15"
"Lactococcus virus PCB1"
"Lactococcus virus PCS1"
"Staphylococcus virus phiSP44-1"
"Staphylococcus virus SN8"
"Staphylococcus virus SP120"
"Staphylococcus virus SP197"
"Staphylococcus virus SP276"
"Staphylococcus virus SpT152"
"Staphylococcus virus WIS42"
"Ralstonia virus Dina"
"Lactococcus virus CHPC971"
"Paenibacillus virus C7Cdelta"
"Paenibacillus virus Halcyone"
"Paenibacillus virus Scottie"
"Paenibacillus virus Unity"
"Arthrobacter virus LiSara"
"Arthrobacter virus Salgado"
"Arthrobacter virus Wheelbite"
"Fusobacterium virus FNU1"
"Staphylococcus virus IME1348-01"
"Lactococcus virus BK5T"
"Leuconostoc virus MH1"
"Staphylococcus virus 15644"
"Staphylococcus virus fPfSau02"
"Staphylococcus virus JS02"
"Staphylococcus virus LH1"
"Staphylococcus virus P240"
"Staphylococcus virus SA137ruMSSAST121PVL"
"Staphylococcus virus SAP11"
"Staphylococcus virus st1"
"Staphylococcus virus st5"
"Staphylococcus virus st30"
"Staphylococcus virus st78"
"Staphylococcus virus st121mssa"
"Lactococcus virus PLgW1"
"Apodemus flavicollis polyomavirus 1"
"Callosciurus erythraeus polyomavirus 1"
"Mastomys natalensis polyomavirus 2"
"Mastomys natalensis polyomavirus 3"
