,input_accessionID,database_accessionID,qstart,qend,nident,input_length,totident
0,NC_027365.1,"HQ878327.2_Chelonid_alphaherpesvirus_5_Chelonid_herpesvirus_5,_partial_genome",26144,26173,27,58076,27
1,NC_027365.1,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",45789,45844,46,58076,162
2,NC_027365.1,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",6772,6810,33,58076,162
3,NC_027365.1,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",49568,49617,39,58076,162
4,NC_027365.1,"JF797218.1_Suid_alphaherpesvirus_1_Suid_herpesvirus_1_strain_Kaplan,_complete_genome",7054,7104,44,58076,162
5,NC_027365.1,"JX898220.1_Bovine_alphaherpesvirus_1_Bovine_herpesvirus_type_1.1_isolate_NVSL_challenge_97-11,_complete_genome",43330,43422,68,58076,112
6,NC_027365.1,"JX898220.1_Bovine_alphaherpesvirus_1_Bovine_herpesvirus_type_1.1_isolate_NVSL_challenge_97-11,_complete_genome",7033,7086,44,58076,112
7,NC_027365.1,"KP676001.1_Macacine_gammaherpesvirus_10_Lymphocryptovirus_Macaca/pfe-lcl-E3_isolate_pfe-lcl-E3,_complete_genome",44912,44950,34,58076,34
8,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",16761,16869,82,58076,381
9,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",44921,44974,46,58076,381
10,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",52769,52801,29,58076,381
11,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",57947,57998,46,58076,381
12,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",27562,27589,26,58076,381
13,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",31256,31296,37,58076,381
14,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",50694,50723,27,58076,381
15,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",44590,44633,36,58076,381
16,NC_027365.1,"KY628968.1_Macacine_alphaherpesvirus_2_Macacine_alphaherpesvirus_1_isolate_8100812,_complete_genome",29767,29833,52,58076,381
17,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",16761,16828,55,58076,259
18,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",52769,52801,30,58076,259
19,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",57751,57802,41,58076,259
20,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",11040,11085,38,58076,259
21,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",27562,27589,26,58076,259
22,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",52917,52954,32,58076,259
23,NC_027365.1,"KY628970.1_Macacine_alphaherpesvirus_3_Macacine_alphaherpesvirus_1_isolate_KQ,_complete_genome",44933,44974,37,58076,259
24,NC_027365.1,"MF678601.1_Monodontid_alphaherpesvirus_1_Beluga_whale_alphaherpesvirus_1_strain_LN3131-1,_complete_genome",6578,6619,36,58076,76
25,NC_027365.1,"MF678601.1_Monodontid_alphaherpesvirus_1_Beluga_whale_alphaherpesvirus_1_strain_LN3131-1,_complete_genome",52456,52507,40,58076,76
26,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",5009,5066,48,58076,544
27,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",15911,15975,52,58076,544
28,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",43310,43421,85,58076,544
29,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",17097,17167,57,58076,544
30,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",24929,25013,64,58076,544
31,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",49570,49618,39,58076,544
32,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",54641,54701,53,58076,544
33,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",4329,4375,39,58076,544
34,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",10143,10187,36,58076,544
35,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",11047,11090,37,58076,544
36,NC_027365.1,"MH036941.1_Cervid_alphaherpesvirus_3_Cervid_alphaherpesvirus_3_strain_Canada,_complete_genome",55792,55833,34,58076,544
