,input_accessionID,database_accessionID,qstart,qend,nident,input_length,totident
0,NC_030884.1,NC_010152.1,24509,24657,105,32995,205
1,NC_030884.1,NC_010152.1,25342,25373,27,32995,205
2,NC_030884.1,NC_010152.1,21531,21556,24,32995,205
3,NC_030884.1,NC_010152.1,31789,31812,22,32995,205
4,NC_030884.1,NC_010152.1,26986,27016,27,32995,205
5,NC_030884.1,NC_010153.1,24559,24719,116,32995,166
6,NC_030884.1,NC_010153.1,20480,20513,28,32995,166
7,NC_030884.1,NC_010153.1,25737,25760,22,32995,166
8,NC_030884.1,NC_010154.1,24531,24657,93,32995,127
9,NC_030884.1,NC_010154.1,12393,12432,34,32995,127
10,NC_030884.1,NC_010155.1,24496,24657,116,32995,283
11,NC_030884.1,NC_010155.1,6585,6643,49,32995,283
12,NC_030884.1,NC_010155.1,30086,30145,44,32995,283
13,NC_030884.1,NC_010155.1,12429,12453,23,32995,283
14,NC_030884.1,NC_010155.1,21531,21556,24,32995,283
15,NC_030884.1,NC_010155.1,26986,27016,27,32995,283
16,NC_030884.1,NC_010537.1,13729,22522,7842,32995,16007
17,NC_030884.1,NC_010537.1,24467,28180,3301,32995,16007
18,NC_030884.1,NC_010537.1,29607,30538,845,32995,16007
19,NC_030884.1,NC_010537.1,72,1553,1143,32995,16007
20,NC_030884.1,NC_010537.1,31400,32924,1153,32995,16007
21,NC_030884.1,NC_010537.1,22593,23250,555,32995,16007
22,NC_030884.1,NC_010537.1,28425,29155,574,32995,16007
23,NC_030884.1,NC_010537.1,3812,4280,409,32995,16007
24,NC_030884.1,NC_010537.1,30909,31144,185,32995,16007
25,NC_030884.1,NC_048037.1,8173,8204,27,32995,55
26,NC_030884.1,NC_048037.1,12403,12436,28,32995,55
27,NC_030884.1,NC_048128.1,19751,19777,24,32995,24

