"ICTVnames" "accessionIDs"
"Alphalipothrixvirus SBFV2" "NC_048128"
"Alphalipothrixvirus SFV1" "NC_048037"
"Acidianus filamentous virus 3" "NC_010155"
"Acidianus filamentous virus 6" "NC_010152"
"Acidianus filamentous virus 7" "NC_010153"
"Acidianus filamentous virus 8" "NC_010154"
"Acidianus filamentous virus 9" "NC_010537"
"Sulfolobus islandicus filamentous virus" "NC_003214"
"Acidianus filamentous virus 2" "NC_009884"
"Deltalipothrixvirus SBFV3" "NC_048127"
"Acidianus filamentous virus 1" "NC_005830"
"Azorudivirus SRV" "NC_025375"
"Hoswirudivirus ARV2" "NC_029314"
"Hoswirudivirus ARV3" "MN876842"
"Hoswirudivirus MRV1" "MN876843"
"Hoswirudivirus SSRV1" "MN876841"
"Icerudivirus SIRV1" "NC_004087"
"Icerudivirus SIRV2" "NC_004086"
"Itarudivirus ARV1" "NC_009965"
"Japarudivirus SBRV1" "MK064565"
"Usarudivirus SIRV4" "NC_034628"
"Usarudivirus SIRV5" "NC_034621"
"Usarudivirus SIRV8" "NC_034623"
"Usarudivirus SIRV9" "NC_034620"
"Usarudivirus SIRV10" "NC_034625"
"Usarudivirus SIRV11" "NC_034624"
"Alphatristromavirus PFV1" "NC_029548"
"Alphatristromavirus PFV2" "MN876844"
"Betatristromavirus TTV1" "NC_038931"
"Ranid herpesvirus 1" "NC_008211"
"Ranid herpesvirus 2" "NC_008210"
"Ranid herpesvirus 3" "NC_034618"
"Anguillid herpesvirus 1" "NC_013668"
"Cyprinid herpesvirus 1" "NC_019491"
"Cyprinid herpesvirus 2" "NC_019495"
"Cyprinid herpesvirus 3" "NC_009127"
"Acipenserid herpesvirus 2" "NC_043042"
"Ictalurid herpesvirus 1" "NC_001493"
"Ictalurid herpesvirus 2" "NC_036579"
"Salmonid herpesvirus 1" "NC_043043"
"Salmonid herpesvirus 2" "EU349274"
"Salmonid herpesvirus 3" "NC_043468"
"Gallid alphaherpesvirus 1" "JN596962"
"Psittacid alphaherpesvirus 1" "NC_005264"
"Anatid alphaherpesvirus 1" "JF999965"
"Columbid alphaherpesvirus 1" "NC_034266"
"Gallid alphaherpesvirus 2" "NC_002229"
"Gallid alphaherpesvirus 3" "HQ840738"
"Meleagrid alphaherpesvirus 1" "NC_002641"
"Spheniscid alphaherpesvirus 1" "NC_033464"
"Chelonid alphaherpesvirus 5" "HQ878327"
"Testudinid alphaherpesvirus 3" "NC_027916"
"Ateline alphaherpesvirus 1" "NC_034446"
"Bovine alphaherpesvirus 2" "MT862163"
"Cercopithecine alphaherpesvirus 2" "NC_006560"
"Human alphaherpesvirus 1" "NC_001806"
"Human alphaherpesvirus 2" "NC_001798"
"Leporid alphaherpesvirus 4" "NC_029311"
"Macacine alphaherpesvirus 1" "NC_004812"
"Macacine alphaherpesvirus 2" "KY628968"
"Macacine alphaherpesvirus 3" "KY628970"
"Macropodid alphaherpesvirus 1" "NC_029132"
"Macropodid alphaherpesvirus 2" "MT900475"
"Panine alphaherpesvirus 3" "NC_023677"
"Papiine alphaherpesvirus 2" "NC_007653"
"Pteropodid alphaherpesvirus 1" "NC_024306"
"Saimiriine alphaherpesvirus 1" "NC_014567"
"Bovine alphaherpesvirus 1" "JX898220"
"Bovine alphaherpesvirus 5" "NC_005261"
"Bubaline alphaherpesvirus 1" "NC_043054"
"Canid alphaherpesvirus 1" "NC_030117"
"Caprine alphaherpesvirus 1" "NC_043055"
"Cercopithecine alphaherpesvirus 9" "NC_002686"
"Cervid alphaherpesvirus 1" "MH036942"
"Cervid alphaherpesvirus 2" "MH036943"
"Cervid alphaherpesvirus 3" "MH036941"
"Equid alphaherpesvirus 1" "NC_001491"
"Equid alphaherpesvirus 3" "NC_024771"
"Equid alphaherpesvirus 4" "NC_001844"
"Equid alphaherpesvirus 8" "MF431611"
"Equid alphaherpesvirus 9" "NC_011644"
"Felid alphaherpesvirus 1" "NC_013590"
"Human alphaherpesvirus 3" "NC_001348"
"Monodontid alphaherpesvirus 1" "MF678601"
"Phocid alphaherpesvirus 1" "MH509440"
"Suid alphaherpesvirus 1" "JF797218"
"Chelonid alphaherpesvirus 6" "AY124577"
"Aotine betaherpesvirus 1" "NC_016447"
"Cebine betaherpesvirus 1" "NC_038260"
"Cercopithecine betaherpesvirus 5" "NC_012783"
"Human betaherpesvirus 5" "NC_006273"
"Macacine betaherpesvirus 3" "NC_006150"
"Macacine betaherpesvirus 8" "JN227533"
"Mandrilline betaherpesvirus 1" "KR297253"
"Panine betaherpesvirus 2" "NC_003521"
"Papiine betaherpesvirus 3" "AC090446"
"Saimiriine betaherpesvirus 4" "NC_016448"
"Murid betaherpesvirus 1" "GU305914"
"Murid betaherpesvirus 2" "NC_002512"
"Murid betaherpesvirus 8" "NC_019559"
"Elephantid betaherpesvirus 1" "NC_020474"
"Elephantid betaherpesvirus 5" "NC_024696"
"Caviid betaherpesvirus 2" "NC_020231"
"Tupaiid betaherpesvirus 1" "NC_002794"
"Human betaherpesvirus 7" "NC_001716"
"Human betaherpesvirus 6A" "NC_001664"
"Human betaherpesvirus 6B" "NC_000898"
"Macacine betaherpesvirus 9" "NC_030200"
"Murid betaherpesvirus 3" "NC_033620"
"Suid betaherpesvirus 2" "NC_022233"
"Delphinid gammaherpesvirus 1" "NC_035117"
"Callitrichine gammaherpesvirus 3" "NC_004367"
"Gorilline gammaherpesvirus 1" "AJ581752"
"Human gammaherpesvirus 4" "NC_007605"
"Macacine gammaherpesvirus 4" "NC_006146"
"Macacine gammaherpesvirus 10" "KP676001"
"Panine gammaherpesvirus 1" "NC_038859"
"Papiine gammaherpesvirus 1" "AJ581750"
"Pongine gammaherpesvirus 2" "NC_038860"
"Alcelaphine gammaherpesvirus 1" "NC_002531"
"Alcelaphine gammaherpesvirus 2" "NC_024382"
"Bovine gammaherpesvirus 6" "NC_024303"
"Caprine gammaherpesvirus 2" "NC_043059"
"Hippotragine gammaherpesvirus 1" "NC_043060"
"Ovine gammaherpesvirus 2" "NC_007646"
"Suid gammaherpesvirus 3" "NC_038264"
"Suid gammaherpesvirus 4" "NC_038265"
"Suid gammaherpesvirus 5" "AY170316"
"Phascolarctid gammaherpesvirus 1" "MG452722"
"Vombatid gammaherpesvirus 1" "MG452721"
"Equid gammaherpesvirus 2" "NC_001650"
"Equid gammaherpesvirus 5" "NC_026421"
"Felid gammaherpesvirus 1" "NC_028099"
"Mustelid gammaherpesvirus 1" "NC_038266"
"Phocid gammaherpesvirus 3" "KP136799"
"Ateline gammaherpesvirus 2" "NC_038267"
"Ateline gammaherpesvirus 3" "NC_001987"
"Bovine gammaherpesvirus 4" "NC_002665"
"Cricetid gammaherpesvirus 2" "NC_015049"
"Human gammaherpesvirus 8" "NC_009333"
"Macacine gammaherpesvirus 5" "NC_003401"
"Macacine gammaherpesvirus 8" "KF703446"
"Macacine gammaherpesvirus 11" "AY528864"
"Macacine gammaherpesvirus 12" "KP265674"
"Murid gammaherpesvirus 4" "NC_001826"
"Murid gammaherpesvirus 7" "GQ169129"
"Saimiriine gammaherpesvirus 2" "NC_001350"
"Equid gammaherpesvirus 7" "NC_043061"
"Phocid gammaherpesvirus 2" "NC_043062"
"Saguinine gammaherpesvirus 1" "U63458"
"Iguanid herpesvirus 2" "NC_043063"
"Haliotid herpesvirus 1" "NC_018874"
"Ostreid herpesvirus 1" "NC_005881"
"Enterobacter virus phiEM4" "NC_049384"
"Salmonella virus P46FS4" "NC_049509"
"Salmonella virus SKML39" "NC_019910"
"Shigella virus AG3" "NC_013693"
"Shigella virus MK13" "NC_049455"
"Dickeya virus Limestone" "NC_019925"
"Dickeya virus RC2014" "NC_025452"
"Escherichia virus CBA120" "NC_016570"
"Escherichia virus ECML4" "NC_025446"
"Escherichia virus EP75" "NC_049433"
"Escherichia virus FEC14" "NC_049427"
"Escherichia virus PhaxI" "NC_019452"
"Salmonella virus 38" "NC_029042"
"Salmonella virus aagejoakim" "NC_049503"
"Salmonella virus allotria" "NC_049501"
"Salmonella virus barely" "NC_049505"
"Salmonella virus bering" "NC_049502"
"Salmonella virus BSP101" "NC_049382"
"Salmonella virus Det7" "NC_027119"
"Salmonella virus dinky" "NC_049504"
"Salmonella virus GG32" "NC_031045"
"Salmonella virus heyday" "NC_049500"
"Salmonella virus maane" "NC_049508"
"Salmonella virus Marshall" "NC_022772"
"Salmonella virus Maynard" "NC_022768"
"Salmonella virus moki" "NC_049506"
"Salmonella virus Mutine" "NC_049428"
"Salmonella virus pertopsoe" "NC_049507"
"Salmonella virus PM10" "NC_031128"
"Salmonella virus rabagast" "NC_049499"
"Salmonella virus S118" "NC_049437"
"Salmonella virus SE14" "NC_049512"
"Salmonella virus SeB" "NC_049495"
"Salmonella virus SeG" "NC_049496"
"Salmonella virus SeJ" "NC_049497"
"Salmonella virus SenALZ1" "NC_049440"
"Salmonella virus SenASZ3" "NC_049439"
"Salmonella virus SeSz1" "NC_049443"
"Salmonella virus SFP10" "NC_016073"
"Salmonella virus SH19" "NC_019530"
"Salmonella virus SJ2" "NC_023856"
"Salmonella virus SJ3" "NC_024122"
"Salmonella virus SP1" "NC_049396"
"Salmonella virus SS9" "NC_049458"
"Salmonella virus STML131" "NC_042061"
"Salmonella virus STW77" "NC_049378"
"Salmonella virus ViI" "NC_015296"
"Vibrio virus YC" "NC_048709"
"Vibrio virus Kuja" "NC_048827"
"Serratia virus 3M" "NC_048736"
"Serratia virus MAM1" "NC_020083"
"Erwinia virus Bue1" "NC_048702"
"Erwinia virus Ea2809" "NC_027340"
"Escherichia virus KWBSE43-6" "NC_048186"
"Klebsiella virus 0507KN21" "NC_022343"
"Klebsiella virus KpS110" "NC_047932"
"Klebsiella virus Magnus" "NC_049462"
"Klebsiella virus May" "NC_047900"
"Klebsiella virus Menlow" "NC_047901"
"Klebsiella virus UPM2146" "NC_049472"
"Serratia virus IME250" "NC_042047"
"Aeromonas virus A8-29" "NC_048660"
"Vibrio virus VAP7" "NC_048765"
"Acinetobacter virus Acibel007" "NC_025457"
"Acinetobacter virus AB3" "NC_021337"
"Acinetobacter virus AbKT21III" "NC_048142"
"Acinetobacter virus Abp1" "NC_021316"
"Acinetobacter virus Aci07" "NC_048076"
"Acinetobacter virus Aci08" "NC_048081"
"Acinetobacter virus AS11" "NC_041915"
"Acinetobacter virus AS12" "NC_041914"
"Acinetobacter virus B1" "NC_042003"
"Acinetobacter virus B3" "NC_042004"
"Acinetobacter virus B5" "NC_042005"
"Acinetobacter virus D2" "NC_042124"
"Acinetobacter virus Fri1" "NC_028848"
"Acinetobacter virus IME200" "NC_028987"
"Acinetobacter virus P1" "NC_042006"
"Acinetobacter virus P2" "NC_042007"
"Acinetobacter virus PD6A3" "NC_028684"
"Acinetobacter virus PDAB9" "NC_028679"
"Acinetobacter virus phiAB1" "NC_028675"
"Acinetobacter virus phiAB6" "NC_031086"
"Acinetobacter virus SH-Ab 15519" "NC_041905"
"Acinetobacter virus SWHAb1" "NC_047896"
"Acinetobacter virus SWHAb3" "NC_047883"
"Acinetobacter virus WCHABP5" "NC_041967"
"Acinetobacter virus Petty" "NC_023570"
