,input_accessionID,database_accessionID,qstart,qend,nident,input_length,totident
0,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,51507,51541,29,170275,188
1,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,99438,99477,32,170275,188
2,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,23958,24021,47,170275,188
3,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,30013,30041,27,170275,188
4,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,45333,45351,19,170275,188
5,"AC090446.27Papiine_betaherpesvirus_3__Baboon_cytomegalovirus_OCOM4-37_clone_bacmv,_WORKING_DRAFT_SEQUENCE,_22_unordered_pieces",NC_027365.1,7826,7868,34,170275,188
6,AJ581750.1_Papiine_gammaherpesvirus_1_Cercopithecine_herpesvirus_12_(Baboon_herpesvirus)_gB_gene_for_glycoprotein_B,NC_027365.1,27,51,22,2598,100
7,AJ581750.1_Papiine_gammaherpesvirus_1_Cercopithecine_herpesvirus_12_(Baboon_herpesvirus)_gB_gene_for_glycoprotein_B,NC_027365.1,1339,1358,19,2598,100
8,AJ581750.1_Papiine_gammaherpesvirus_1_Cercopithecine_herpesvirus_12_(Baboon_herpesvirus)_gB_gene_for_glycoprotein_B,NC_027365.1,1250,1283,27,2598,100
9,AJ581750.1_Papiine_gammaherpesvirus_1_Cercopithecine_herpesvirus_12_(Baboon_herpesvirus)_gB_gene_for_glycoprotein_B,NC_027365.1,826,843,17,2598,100
10,AJ581750.1_Papiine_gammaherpesvirus_1_Cercopithecine_herpesvirus_12_(Baboon_herpesvirus)_gB_gene_for_glycoprotein_B,NC_027365.1,1866,1880,15,2598,100
11,AJ581752.1_Gorilline_gammaherpesvirus_1_Pongine_herpesvirus_3_(Gorilla_herpesvirus)_gB_gene_for_glycoprotein_B_gene,NC_027365.1,38,67,26,2598,66
